BL_ID,LICENSE_NUMBER,LICENSE_STATUS,LICENSE_TYPE_CODE,LECENSE_TYPE,BILLING_CYCLE,BILL_DATE,APPLICATION_DATE,ISSUED_DATE,EXPIRE_DATE,START_DATE,CHARGE_CODE,CHARGE_AMOUNT,QUANTITY,ONE_TIME,INACTIVATE_DATE,MISC
380,8494,A,1300,RETAIL GENERAL,GROS,5/30/2012,,1/18/2011,6/30/2013,1/18/2011,BASER,$25.00,0,A,,NO MAXIMUM FEE
380,8494,A,1300,RETAIL GENERAL,GROS,5/30/2012,,1/18/2011,6/30/2013,1/18/2011,1300,$0.00,0,A,,NO MAXIMUM FEE
381,8496,A,771,ELECTRICIAN,PL,5/25/2012,,1/18/2011,6/30/2013,1/18/2011,771,$50.00,0,A,,
382,8501,A,2052,RESTAURANT 5+ SEATS,PL,5/25/2012,1/19/2011,1/19/2011,6/30/2013,1/19/2011,2052,$42.50,0,A,,
382,8502,A,280,BEER ON PREMISE,ALCO,3/25/2012,1/19/2011,1/19/2011,4/30/2013,1/19/2011,280,$15.00,0,A,,
382,8503,A,282,WINE ON PREMISE,ALCO,3/25/2012,1/19/2011,1/19/2011,4/30/2013,1/19/2011,282,$15.00,0,A,,
383,8504,A,1200,SERVICE GENERAL,GROS,5/25/2012,1/19/2011,1/19/2011,6/30/2013,1/19/2011,1200,$0.00,0,A,,NO MAXIMUM FEE
383,8504,A,1200,SERVICE GENERAL,GROS,5/25/2012,1/19/2011,1/19/2011,6/30/2013,1/19/2011,BASER,$25.00,0,A,,NO MAXIMUM FEE
384,8505,I,1400,WHOLESALE GENERAL,GROS,1/20/2011,1/20/2011,,6/30/2011,1/20/2011,BASEW,$45.00,0,A,12/5/2011,NO MAXIMUM FEE
384,8696,A,1400,WHOLESALE GENERAL,GROS,7/3/2012,,2/22/2011,6/30/2013,2/22/2011,1400,$0.00,0,A,,NO MAXIMUM FEE
384,8696,A,1400,WHOLESALE GENERAL,GROS,7/3/2012,,2/22/2011,6/30/2013,2/22/2011,BASEW,$45.00,0,A,,NO MAXIMUM FEE
385,8506,A,1200,SERVICE GENERAL,GROS,7/3/2012,,1/20/2011,6/30/2013,1/20/2011,1200,$0.00,0,A,,NO MAXIMUM FEE
385,8506,A,1200,SERVICE GENERAL,GROS,7/3/2012,,1/20/2011,6/30/2013,1/20/2011,BASER,$25.00,0,A,,NO MAXIMUM FEE
386,8507,A,1200,SERVICE GENERAL,GROS,5/30/2012,,1/20/2011,6/30/2013,1/20/2011,1200,$0.00,0,A,,NO MAXIMUM FEE
386,8507,A,1200,SERVICE GENERAL,GROS,5/30/2012,,1/20/2011,6/30/2013,1/20/2011,BASER,$25.00,0,A,,NO MAXIMUM FEE
387,8508,A,1200,SERVICE GENERAL,GROS,5/25/2012,,1/20/2011,6/30/2013,1/20/2011,1200,$0.00,0,A,,NO MAXIMUM FEE
387,8508,A,1200,SERVICE GENERAL,GROS,5/25/2012,,1/20/2011,6/30/2013,1/20/2011,BASER,$25.00,0,A,,NO MAXIMUM FEE
388,8509,A,1200,SERVICE GENERAL,GROS,5/25/2012,,1/21/2011,6/30/2013,1/21/2011,1200,$0.00,0,A,,NO MAXIMUM FEE
388,8509,A,1200,SERVICE GENERAL,GROS,5/25/2012,,1/21/2011,6/30/2013,1/21/2011,BASER,$25.00,0,A,,NO MAXIMUM FEE
39,7943,A,1380,ICE CREAM,PL,5/25/2012,9/28/2010,9/28/2010,6/30/2013,9/28/2010,1380,$2.50,0,A,,
39,7944,A,1300,RETAIL GENERAL,GROS,6/29/2012,9/28/2010,9/28/2010,6/30/2013,9/28/2010,BASER,$25.00,0,A,,NO MAXIMUM FEE
39,7944,A,1300,RETAIL GENERAL,GROS,6/29/2012,9/28/2010,9/28/2010,6/30/2013,9/28/2010,1300,$0.00,0,A,,NO MAXIMUM FEE
39,7945,A,630,CHAIN/BRANCH STORE,PL,5/25/2012,9/28/2010,9/28/2010,6/30/2013,9/28/2010,630,$50.00,0,A,,
390,8510,A,1300,RETAIL GENERAL,GROS,5/25/2012,1/21/2011,1/21/2011,6/30/2013,1/21/2011,BASER,$25.00,0,A,,NO MAXIMUM FEE
390,8510,A,1300,RETAIL GENERAL,GROS,5/25/2012,1/21/2011,1/21/2011,6/30/2013,1/21/2011,1300,$0.00,0,A,,NO MAXIMUM FEE
391,8511,A,180,AUTO SERVICE/SUPPLIES,PL,5/25/2012,1/21/2011,1/21/2011,6/30/2013,1/21/2011,180,$12.50,0,A,,
392,8512,A,1300,RETAIL GENERAL,GROS,5/25/2012,,1/21/2011,6/30/2013,1/21/2011,BASER,$25.00,0,A,,NO MAXIMUM FEE
392,8512,A,1300,RETAIL GENERAL,GROS,5/25/2012,,1/21/2011,6/30/2013,1/21/2011,1300,$0.00,0,A,,NO MAXIMUM FEE
393,8514,A,1400,WHOLESALE GENERAL,GROS,5/25/2012,1/21/2011,1/21/2011,6/30/2013,1/21/2011,1400,$0.00,0,A,,NO MAXIMUM FEE
393,8514,A,1400,WHOLESALE GENERAL,GROS,5/25/2012,1/21/2011,1/21/2011,6/30/2013,1/21/2011,BASEW,$45.00,0,A,,NO MAXIMUM FEE
394,8515,A,1200,SERVICE GENERAL,GROS,6/20/2012,1/21/2011,1/21/2011,6/30/2013,1/21/2011,1200,$0.00,0,A,,NO MAXIMUM FEE
394,8515,A,1200,SERVICE GENERAL,GROS,6/20/2012,1/21/2011,1/21/2011,6/30/2013,1/21/2011,BASER,$25.00,0,A,,NO MAXIMUM FEE
395,8516,A,1200,SERVICE GENERAL,GROS,5/25/2012,1/21/2011,1/21/2011,6/30/2013,1/21/2011,1200,$0.00,0,A,,NO MAXIMUM FEE
395,8516,A,1200,SERVICE GENERAL,GROS,5/25/2012,1/21/2011,1/21/2011,6/30/2013,1/21/2011,BASER,$25.00,0,A,,NO MAXIMUM FEE
396,8517,A,1300,RETAIL GENERAL,GROS,6/6/2012,1/21/2011,1/21/2011,6/30/2013,1/21/2011,BASER,$25.00,0,A,,NO MAXIMUM FEE
396,8517,A,1300,RETAIL GENERAL,GROS,6/6/2012,1/21/2011,1/21/2011,6/30/2013,1/21/2011,1300,$0.00,0,A,,NO MAXIMUM FEE
397,8518,A,280,BEER ON PREMISE,ALCO,3/25/2012,1/24/2011,1/24/2011,4/30/2013,1/24/2011,280,$15.00,0,A,,
397,8519,A,282,WINE ON PREMISE,ALCO,3/25/2012,,1/24/2011,4/30/2013,1/24/2011,282,$15.00,0,A,,
397,8520,A,2052,RESTAURANT 5+ SEATS,PL,5/25/2012,1/24/2011,1/24/2011,6/30/2013,1/24/2011,2052,$42.50,0,A,,
399,8523,A,771,ELECTRICIAN,PL,5/25/2012,,1/24/2011,6/30/2013,1/24/2011,771,$50.00,0,A,,
4,7884,A,1200,SERVICE GENERAL,GROS,5/25/2012,9/21/2010,9/21/2010,6/30/2013,9/21/2010,1200,$0.00,0,A,,NO MAXIMUM FEE
4,7884,A,1200,SERVICE GENERAL,GROS,5/25/2012,9/21/2010,9/21/2010,6/30/2013,9/21/2010,BASER,$25.00,0,A,,NO MAXIMUM FEE
40,7946,A,1200,SERVICE GENERAL,GROS,6/6/2012,9/28/2010,9/28/2010,6/30/2013,9/28/2010,1200,$0.00,0,A,,NO MAXIMUM FEE
40,7946,A,1200,SERVICE GENERAL,GROS,6/6/2012,9/28/2010,9/28/2010,6/30/2013,9/28/2010,BASER,$25.00,0,A,,NO MAXIMUM FEE
400,8524,I,1500,MANUFACTURER GENERAL,GROS,5/25/2011,1/24/2011,1/24/2011,6/30/2012,1/24/2011,1500,$0.00,0,A,1/5/2012,$1000.00
400,8524,I,1500,MANUFACTURER GENERAL,GROS,5/25/2011,1/24/2011,1/24/2011,6/30/2012,1/24/2011,BASER,$25.00,0,A,1/5/2012,$1000.00
400,10547,A,1500,MANUFACTURER GENERAL,GROS,6/29/2012,,1/5/2012,6/30/2013,1/5/2012,1500,$0.00,0,A,,$1000.00
400,10547,A,1500,MANUFACTURER GENERAL,GROS,6/29/2012,,1/5/2012,6/30/2013,1/5/2012,BASER,$25.00,0,A,,$1000.00
401,8527,A,2150,SECURITY DEALER,PL,5/25/2012,1/25/2011,6/29/2012,6/30/2013,1/25/2011,2150,$50.00,0,A,,
402,8528,A,777,MECHANICAL CONTRACTOR,PL,5/25/2012,,1/25/2011,6/30/2013,1/25/2011,777,$50.00,0,A,,
403,8529,A,1500,MANUFACTURER GENERAL,GROS,8/30/2012,1/25/2011,1/25/2011,6/30/2013,1/25/2011,1500,$0.00,0,A,,$1000.00
403,8529,A,1500,MANUFACTURER GENERAL,GROS,8/30/2012,1/25/2011,1/25/2011,6/30/2013,1/25/2011,BASER,$25.00,0,A,,$1000.00
404,8530,A,1200,SERVICE GENERAL,GROS,8/30/2012,,1/25/2011,6/30/2013,1/25/2011,1200,$0.00,0,A,,NO MAXIMUM FEE
404,8530,A,1200,SERVICE GENERAL,GROS,8/30/2012,,1/25/2011,6/30/2013,1/25/2011,BASER,$25.00,0,A,,NO MAXIMUM FEE
405,8532,A,1300,RETAIL GENERAL,GROS,5/30/2012,1/26/2011,1/26/2011,6/30/2013,1/26/2011,BASER,$25.00,0,A,,NO MAXIMUM FEE
405,8532,A,1300,RETAIL GENERAL,GROS,5/30/2012,1/26/2011,1/26/2011,6/30/2013,1/26/2011,1300,$0.00,0,A,,NO MAXIMUM FEE
405,8533,A,280,BEER ON PREMISE,ALCO,3/25/2012,,1/26/2011,4/30/2013,1/26/2011,280,$15.00,0,A,,
405,8534,A,282,WINE ON PREMISE,ALCO,3/25/2012,,1/26/2011,4/30/2013,1/26/2011,282,$15.00,0,A,,
406,8535,A,1200,SERVICE GENERAL,GROS,5/25/2012,1/26/2011,1/26/2011,6/30/2013,1/26/2011,1200,$0.00,0,A,,NO MAXIMUM FEE
406,8535,A,1200,SERVICE GENERAL,GROS,5/25/2012,1/26/2011,1/26/2011,6/30/2013,1/26/2011,BASER,$25.00,0,A,,NO MAXIMUM FEE
407,8536,I,777,MECHANICAL CONTRACTOR,PL,1/26/2011,1/26/2011,,6/30/2011,1/26/2011,777,$50.00,0,A,1/27/2011,
407,8543,A,1200,SERVICE GENERAL,GROS,5/25/2012,,1/27/2011,6/30/2013,1/27/2011,1200,$0.00,0,A,,NO MAXIMUM FEE
407,8543,A,1200,SERVICE GENERAL,GROS,5/25/2012,,1/27/2011,6/30/2013,1/27/2011,BASER,$25.00,0,A,,NO MAXIMUM FEE
408,8537,A,1200,SERVICE GENERAL,GROS,6/27/2012,,1/26/2011,6/30/2013,1/26/2011,1200,$0.00,0,A,,NO MAXIMUM FEE
408,8537,A,1200,SERVICE GENERAL,GROS,6/27/2012,,1/26/2011,6/30/2013,1/26/2011,BASER,$25.00,0,A,,NO MAXIMUM FEE
408,8539,A,1300,RETAIL GENERAL,GROS,6/27/2012,,1/26/2011,6/30/2013,1/26/2011,BASER,$25.00,0,A,,NO MAXIMUM FEE
408,8539,A,1300,RETAIL GENERAL,GROS,6/27/2012,,1/26/2011,6/30/2013,1/26/2011,1300,$0.00,0,A,,NO MAXIMUM FEE
409,8540,A,1200,SERVICE GENERAL,GROS,5/25/2012,,1/27/2011,6/30/2013,1/27/2011,1200,$0.00,0,A,,NO MAXIMUM FEE
409,8540,A,1200,SERVICE GENERAL,GROS,5/25/2012,,1/27/2011,6/30/2013,1/27/2011,BASER,$25.00,0,A,,NO MAXIMUM FEE
41,7948,I,1200,SERVICE GENERAL,GROS,6/6/2012,9/28/2010,9/28/2010,6/30/2013,9/28/2010,1200,$0.00,0,A,6/7/2012,NO MAXIMUM FEE
